Site,Year,Species,ID #,Category,Subcategory,Tray wt,Dry wt,,,
DL,2021,MWF,14,Animal,Plecoptera,0.6385,0.6432,,,
DL,2021,MWF,14,Animal,Ephemeroptera,0.6333,0.6545,,,
DL,2021,MWF,14,Animal,Trichoptera,0.6407,0.6419,,,
DL,2021,MWF,14,Animal,Amphipods,0.639,0.639,,,
DL,2021,MWF,14,Animal,Unknown,0.6669,0.6735,,,
DL,2021,LL,4,Animal,Ephemeroptera,0.6518,0.68,,,
DL,2021,LL,4,Animal,Plecoptera,0.654,0.6655,,,
DL,2021,LL,4,Animal,Unknown,0.6347,0.642,,,
BG,2021,LL,10,Animal,Ephemeroptera,0.6306,0.642,,,
BG,2021,LL,10,Animal,Plecoptera,0.6367,0.6592,,,
BG,2021,LL,10,Animal,Trichoptera,0.6364,0.6399,,,
BG,2021,LL,10,Animal,Unknown,0.6903,0.6912,,,
BG,2021,LL,8,Animal,Ephemeroptera,0.6428,0.6532,,,
BG,2021,LL,8,Animal,Plecoptera,0.6587,0.6713,,,
BG,2021,LL,8,Animal,Trichoptera,0.6479,0.6522,,,
BG,2021,LL,8,Animal,Isopod,0.6374,0.6421,,,
BG,2021,LL,8,Animal,Unknown,0.6356,0.6364,,,
DL,2022,LL,104,Animal,Ephemeroptera,0.6411,0.6488,,,
DL,2022,LL,104,Animal,Plecoptera,0.6356,0.6393,,,
DL,2022,LL,104,Animal,Trichoptera,0.72,0.746,,,
DL,2022,LL,104,Animal,Shell,0.6386,0.6406,,,
DL,2022,LL,104,Animal,Unknown,0.6438,0.659,,,
DL,2022,LL,104,Animal,Parasite,0.6323,0.6333,,,
BG,2021,LL,7,Animal,Ephemeroptera,0.6815,0.6872,,,
BG,2021,LL,7,Animal,Plecoptera,0.6709,0.827,,,
BG,2021,LL,7,Animal,Trichoptera,0.6612,0.686,,,
BG,2021,LL,7,Animal,Unknown,0.6464,0.6736,,,
DL,2021,MWF,8,Animal,Ephemeroptera,0.7151,0.7207,,,
DL,2021,MWF,8,Animal,Plecoptera,0.6522,0.6586,,,
DL,2021,MWF,8,Animal,Parasite,0.6541,0.6543,,,
DL,2021,MWF,8,Animal,Unknown,0.6435,0.6563,,,
GC,2021,LSSU,5,Animal,Ephemeroptera,0.6498,0.65,,,
GC,2021,LSSU,5,Animal,Plecoptera,0.6257,0.6258,,,
GC,2021,LSSU,5,Animal,Trichoptera,0.6404,0.6412,,,
GC,2021,LSSU,5,Animal,Parasite,0.6593,0.6594,,,
GC,2021,LSSU,5,Animal,Unknown,0.6572,0.659,,,
GC,2021,LSSU,5,Detritus,Organis detritus,0.6732,0.7128,,,
GC,2021,LSSU,5,Detritus,Inorganic detritus,0.6472,0.6747,,,
DL,2021,LL,1,Animal,Ephemeroptera,0.6897,0.7046,,,
DL,2021,LL,1,Animal,Plecoptera,0.6732,0.6821,,,
DL,2021,LL,1,Animal,Trichoptera,0.6647,0.6834,,,
DL,2021,LL,1,Animal,Parasite,0.7234,0.7239,,,
DL,2021,LL,1,Animal,Unknown,0.7267,0.7632,,,
DL,2021,LL,1,Detritus,Inorganic detritus,0.6256,0.6935,,,
GC,2021,LNSU,3,Detritus,Organis detritus,0.6842,0.7118,,,
GC,2021,LNSU,3,Animal,Unknown,0.6523,0.652,,,
GC,2021,LNSU,3,Detritus,Inorganic detritus,0.6414,0.6417,,,
DL,2021,LL,2,Animal,Plecoptera,0.6647,0.6652,,,
DL,2021,LL,2,Detritus,Organis detritus,0.6445,NA,,,
DL,2021,LL,2,Plant,Plant,0.6395,0.6457,,,
DL,2021,LL,2,Animal,Unknown,0.658,0.658,,,
DL,2021,LL,2,Detritus,Inorganic detritus,0.6307,0.6343,,,
DL,2021,LL,2,,Cases,0.6478,0.654,,,
DL,2021,LL,7,Detritus,Organis detritus,0.6348,0.6498,,,
DL,2021,LL,7,Detritus,Inorganic detritus,0.6267,0.6266,,,
DL,2021,LL,7,Plant,Plant,0.6273,0.6284,,,
DL,2021,LL,7,Animal,Unknown,0.6937,0.707,,,
DL,2021,LL,9,Animal,Ephemeroptera,0.6328,0.6425,,,
DL,2021,LL,9,Animal,Plecoptera,0.6902,0.6917,,,
DL,2021,LL,9,Animal,Trichoptera,0.7078,0.7155,,,
DL,2021,LL,9,Animal,Coleoptera,0.6436,0.6447,,,
DL,2021,LL,9,Detritus,Organis detritus,0.6331,0.6418,,,
DL,2021,LL,9,Detritus,Plant,0.7061,0.6418,,,
DL,2021,LL,9,Plant,Unknown,0.6621,0.7086,,,
GC,2021,LL,1,Animal,Ephemeroptera,0.6351,0.6446,,,
GC,2021,LL,1,Animal,Plecoptera,0.6605,0.6939,,,
GC,2021,LL,1,Animal,Trichoptera,0.6517,0.6523,,,
GC,2021,LL,1,Detritus,Inorganic detritus,0.6623,0.6744,,,
GC,2021,LL,1,Detritus,Organis detritus,0.651,0.6523,,,
GC,2021,LL,1,Animal,Unknown,0.6465,0.6786,,,
GC,2022,LL,5,Bivalve,Molluscs,0.7,0.7567,,,
GC,2022,LL,5,Molluscs,Left Gastropod,0.6676,0.9037,,,
GC,2022,LL,5,Animal,Trichoptera,0.6387,0.6403,,,
GC,2022,LL,5,Detritus,Organis detritus,0.6394,0.6737,,,
BG,2022,MWF,12,Animal,Isopod,0.6511,0.6853,,,
BG,2022,MWF,12,Animal,Diptera,0.6548,0.6555,,,
BG,2022,MWF,12,Animal,Ephemeroptera,0.6532,0.6586,,,
BG,2022,MWF,12,Animal,Plecoptera,0.6597,0.6627,,,
BG,2022,MWF,12,Animal,Trichoptera,0.6486,0.6518,,,
BG,2022,MWF,12,Plant,Plant,0.6524,0.6541,,,
BG,2022,MWF,12,Detritus,Organis detritus,0.6381,0.6515,,,
BG,2022,MWF,12,Animal,Unknown,0.6469,0.6578,,,
BG,2022,MWF,12,Animal,Parasite,0.6485,0.6492,,,
